Country,Market_scope,Source_name,Operator,Official_domain,Source_family,Officialness_tier,Primary_evidence_yes_no,M&A,ECM,DCM,Relevant_event_types,Index_page,Detail_page_pattern,Access_format,Languages,Stable_event_id,Stable_issuer_id,Publication_timestamp,Event_date,Pagination,Archive_depth,Authentication,Robots_status,Terms_status,Reuse_risk,Technical_noise_risk,False_positive_risk,Expected_90d_volume,Observed_relevant_90d_samples,Parser_complexity,Maintenance_burden,Canonical_source_role,Approval_eligibility,Recommended_status,Reason
"Kazakhstan","core_cis","Financial-market permission decisions","Agency for Regulation and Development of the Financial Market","gov.kz","Securities / financial regulator","Tier 1","yes","high","low","low","bank acquisition; subsidiary acquisition; major participant consent","https://www.gov.kz/memleket/entities/ardfm/press/news?lang=en","https://www.gov.kz/memleket/entities/ardfm/press/news/details/{numeric_id}?lang={lang}","HTML","kk; ru; en","numeric news id","no stable issuer id","yes","decision date","yes","multi-year","no","allows ordinary paths; disallows /legalacts /page /uploads /search","government portal terms; factual metadata reuse lower risk","low","low","medium","1-4","0 (3 in 365d)","low","low","canonical M&A regulatory-stage evidence","yes when acquisition and parties are explicit","P1_IMPLEMENT_SECOND","Lowest-noise official M&A candidate; volume is low and samples required a 365-day window."
"Kazakhstan","core_cis","National Bank securities and market publications","National Bank of Kazakhstan","nationalbank.kz","Central bank","Tier 1","yes","low","medium","medium","registrations; government securities; financial-sector decisions","https://nationalbank.kz/en/news","article/document path varies","HTML; PDF; XLSX","kk; ru; en","sometimes","financial institution identifiers","yes","yes","yes","multi-year","no","not independently retrieved","government/publication terms not located","low","high","low","5-20","not scored for P0/P1","medium","medium","corroboration and macro/market context","conditional","DISCOVERY_ONLY","Most publications are regulatory or sovereign-market rather than corporate deal events."
"Kazakhstan","core_cis","Issuer and security reference data","Central Securities Depository","kacd.kz","Central securities depository","Tier 1","yes","low","medium","medium","security registration; issuer reference; corporate actions","https://kacd.kz/en/","record pattern unverified","HTML; files","kk; ru; en","security identifier","ISIN; BIN","unverified","yes","search unverified","unverified","no","not independently retrieved","terms and data licensing unresolved","high","high","low","10-30","not scored for P0/P1","high","high","identifier corroboration only","conditional","P2_RESEARCH_MORE","Could strengthen identity and lifecycle dedup but unattended access and reuse need confirmation."
"Kazakhstan","core_cis","Competition and economic-concentration publications","Agency for Protection and Development of Competition","gov.kz","Competition authority","Tier 2","yes","high","none","none","economic concentration; merger review","https://www.gov.kz/memleket/entities/zk/press/news?lang=en","https://www.gov.kz/memleket/entities/zk/press/news/details/{numeric_id}?lang={lang}","HTML; PDF","kk; ru; en","numeric news id","no","yes","yes","yes","multi-year","no","ordinary paths allowed; search disallowed","government portal terms","low","medium","medium","0-3","not scored for P0/P1","low","low","M&A discovery/regulatory corroboration","conditional","P2_RESEARCH_MORE","Publications discuss the service more often than individual decisions; completeness is unresolved."
"Kazakhstan","core_cis","Samruk-Kazyna disclosures and privatization","Sovereign Wealth Fund Samruk-Kazyna","sk.kz","Sovereign fund / state holding","Tier 2","yes","high","medium","high","asset sale; IPO/SPO; bond issue; privatization","https://sk.kz/press-center/news/","article path varies","HTML; PDF","kk; ru; en","sometimes","portfolio company identity","yes","yes","yes","multi-year","no","not independently retrieved","public terms not located","medium","low","medium","1-5","not scored for P0/P1","medium","medium","issuer/seller primary evidence","yes","P2_RESEARCH_MORE","High-value episodic events but no uniform deal-only index."
"Kazakhstan","core_cis","State property privatization register","State Property and Privatization Committee","gosreestr.kz","Privatization / state asset authority","Tier 2","yes","high","low","none","auction; state stake sale; result","https://www.gosreestr.kz/","lot/result pattern varies","JavaScript-rendered HTML","kk; ru","lot id","BIN; asset id","yes","auction/result date","yes","multi-year","mixed","not independently retrieved","auction data reuse terms unresolved","medium","medium","medium","5-20","not scored for P0/P1","high","high","privatization discovery; result corroboration","conditional","P2_RESEARCH_MORE","Needs proof that completed corporate-stake results are public without session or authentication."
"Uzbekistan","core_cis","Openinfo material fact 25","National Agency for Perspective Projects","openinfo.uz","Official corporate disclosure portal","Tier 1","yes","low","high","high","registered share issue; bond issue; placement method","https://openinfo.uz/ru/facts/25","https://openinfo.uz/{lang}/facts/25/{numeric_id}","HTML; PDF download","uz; ru; en","f-25-{id}","registration number; ticker","yes","decision and registration dates","yes","multi-year; IDs at least 1657-1745 observed","no","robots file not independently retrievable","issuer-responsibility notice; bulk terms not located","medium","medium","low","5-15","3","low","low","canonical ECM/DCM registration-stage source","yes for registration stage; later source needed for priced/issued","P1_IMPLEMENT_SECOND","Highly structured and low false-positive risk but same-country marginal value is below new-market Wave 1."
"Uzbekistan","core_cis","UZSE material facts and issuer disclosures","Republican Stock Exchange Toshkent","uzse.uz","Stock exchange","Tier 1","yes","low","medium","medium","material fact 25; exchange admission; issuer disclosure","https://uzse.uz/isu_infos","detail route/API used by current connector","HTML; JSON endpoint","uz; ru; en","yes","ticker; registration number","yes","yes","yes","configured 90-day archive","no","not independently retrieved","terms not located","medium","high","medium","connected","connected baseline","medium","medium","canonical connected source","yes when complete","P2_RESEARCH_MORE","Already connected narrowly; this research recommends preserving the whitelist rather than implementing the source again."
"Uzbekistan","core_cis","NAPP capital-market decisions","National Agency for Perspective Projects","napp.uz","Securities regulator","Tier 1","yes","low","high","high","securities regulation; registrations; market decisions","https://napp.uz/en/news","article path varies","HTML; PDF","uz; ru; en","sometimes","registration number sometimes","yes","yes","yes","multi-year","no","not independently retrieved","government terms not located","low","high","low","2-10","not scored for P0/P1","medium","medium","corroboration and source-health authority","conditional","DISCOVERY_ONLY","Regulator news is broader than deal flow; Openinfo is the better event-level surface."
"Uzbekistan","core_cis","Central Bank issuer and bank disclosures","Central Bank of Uzbekistan","cbu.uz","Central bank","Tier 1","yes","medium","medium","high","bank ownership approval; bond and capital announcements","https://cbu.uz/en/press_center/news/","article path varies","HTML; PDF; XLSX","uz; ru; en","sometimes","bank license/issuer identifiers","yes","yes","yes","multi-year","no","not independently retrieved","government terms not located","low","medium","medium","1-5","not scored for P0/P1","medium","medium","financial-sector corroboration","conditional","P2_RESEARCH_MORE","Potential M&A and DCM evidence exists but no deal-only index was verified."
"Uzbekistan","core_cis","Securities reference and ownership services","Central Securities Depository","uzcsd.uz","Central securities depository","Tier 1","yes","low","medium","medium","security reference; issue PDF; ownership statistics","https://uzcsd.uz/","API/PDF route varies","HTML; PDF; possible JSON API","uz; ru; en","security id","registration number; issuer id","unverified","yes","search","multi-year","mixed","not independently retrieved","API public-use status unresolved","medium","high","low","10-30","not scored for P0/P1","high","high","identifier corroboration only","conditional","P2_RESEARCH_MORE","Do not infer a public API until endpoint stability and terms are confirmed."
"Uzbekistan","core_cis","Competition decisions","Competition Promotion and Consumer Protection Committee","raqobat.gov.uz","Competition authority","Tier 2","yes","high","none","none","economic concentration; acquisition approval","https://raqobat.gov.uz/en/news/","article path varies","HTML; PDF","uz; ru","sometimes","no","yes","decision date","yes","multi-year","no","not independently retrieved","government terms not located","low","medium","medium","0-3","not scored for P0/P1","medium","medium","M&A regulatory corroboration","conditional","P2_RESEARCH_MORE","Individual-decision publication coverage was not proven."
"Uzbekistan","core_cis","State Assets Management Agency news","State Assets Management Agency","davaktiv.uz","Privatization / state asset authority","Tier 2","yes","high","medium","none","privatization; state stake sale; IPO planning","https://davaktiv.uz/en/news","article/lot route varies","HTML; PDF","uz; ru; en","sometimes","asset/company identifiers vary","yes","yes","yes","multi-year","no","not independently retrieved","government terms not located","low","medium","medium","1-5","not scored for P0/P1","medium","medium","privatization primary evidence","yes when result and buyer are explicit","P2_RESEARCH_MORE","Strategically relevant but stable result archive and completed-sale detail were not verified."
"Uzbekistan","core_cis","E-auksion state asset lots","Center for Organization of Electronic Online Auctions","e-auksion.uz","Official auction / placement-result portal","Tier 2","yes","high","none","none","asset and state-share auction; auction result","https://e-auksion.uz/","lot URL varies","JavaScript-rendered HTML","uz; ru","lot id","asset id","yes","auction dates","yes","multi-year","mixed","not independently retrieved","terms and unattended access unresolved","medium","medium","high","10-50","not scored for P0/P1","high","high","privatization discovery only until results verified","conditional","P2_RESEARCH_MORE","Many lots are real estate or non-company assets; company-stake filtering is essential."
"Kyrgyzstan","core_cis","KSE Information Disclosure Center","Kyrgyz Stock Exchange","kse.kg","Stock exchange / disclosure portal","Tier 1","yes","medium","medium","medium","issuer news; ownership changes; issue results; security income","https://www.kse.kg/en/PublicInfo","https://www.kse.kg/en/EnglishAllNewsBlog/{numeric_id}; /en/PublicInfo/{issuer_slug}","HTML; PDF","ky; ru; en","numeric news id","issuer slug; registration number","yes","sometimes","issuer archive","multi-year","no","not independently retrieved","copying only with written permission","very high","very high","medium","10-30","not scored for P0/P1","medium","medium","link and metadata only pending written permission","conditional","LINK_ONLY","Explicit copying restriction is the clearest reuse blocker in the researched set."
"Kyrgyzstan","core_cis","State securities registration notices","Financial Market Regulation and Supervision Service","fsa.gov.kg","Securities regulator","Tier 1","yes","low","high","high","weekly issue registrations; issue results","https://fsa.gov.kg/","WordPress date/post URL","HTML; PDF","ky; ru; en","post URL/date","registration number in body","yes","registration date","yes","at least 2022-2026","no","not independently retrieved","government terms not located","low","high","low","2-8","not scored for P0/P1","medium","medium","registration-stage primary evidence","yes for registration only","P2_RESEARCH_MORE","Useful weekly notices were observed in 2025; current 2026 event yield needs live sampling."
"Kyrgyzstan","core_cis","NBKR securities and bank decisions","National Bank of the Kyrgyz Republic","nbkr.kg","Central bank","Tier 1","yes","medium","low","medium","bank ownership decisions; notes; government securities","https://www.nbkr.kg/","page/document pattern varies","HTML; PDF; XLS","ky; ru; en","sometimes","bank/security identifiers","yes","yes","search","multi-year","no","not independently retrieved","government terms not located","low","high","medium","1-5","not scored for P0/P1","high","medium","financial-sector corroboration","conditional","P2_RESEARCH_MORE","No stable deal-event index was verified."
"Kyrgyzstan","core_cis","Central Depository reference information","Central Depository CJSC","cd.kg","Central securities depository","Tier 1","yes","low","low","medium","security reference; corporate actions","https://cd.kg/","unverified","HTML; files","ky; ru","unverified","security registration id","unverified","sometimes","unverified","unverified","unverified","not independently retrieved","terms unresolved","high","high","low","unknown","0","high","high","identifier corroboration only","conditional","BLOCKED","No stable public deal-level index or archive was verified."
"Kyrgyzstan","core_cis","Antimonopoly news and decisions","Antimonopoly Regulation Service","antimonopolia.gov.kg","Competition authority","Tier 2","yes","high","none","none","economic concentration decisions","https://antimonopolia.gov.kg/","unverified","HTML; PDF","ky; ru","unverified","no","sometimes","decision date","unverified","unverified","no","not independently retrieved","government terms not located","low","medium","medium","unknown","0","high","medium","M&A discovery only","conditional","P2_RESEARCH_MORE","Individual merger-decision publication and archive depth remain unverified."
"Kyrgyzstan","core_cis","State property and privatization notices","State Agency for Management of State Property","fgi.gov.kg","Privatization / state asset authority","Tier 2","yes","high","low","none","state stake sale; auction; privatization","https://fgi.gov.kg/","unverified","HTML; PDF","ky; ru","unverified","asset id sometimes","sometimes","auction date","unverified","unverified","no","not independently retrieved","government terms not located","low","medium","high","unknown","0","high","medium","privatization discovery only","conditional","P2_RESEARCH_MORE","No stable completed-sale result path was verified."
"Belarus","core_cis","BCSE issuer and securities information","Belarusian Currency and Stock Exchange","bcse.by","Stock exchange","Tier 1","yes","low","medium","high","bond admission; placement; trading notices","https://bcse.by/","unverified","HTML; files","be; ru; en","unverified","ISIN; issue number","unverified","yes","unverified","unverified","possibly access-constrained","not independently retrieved","reuse and sanctions constraints unresolved","very high","high","medium","unknown","0","high","high","metadata/link only","conditional","LINK_ONLY","Live deal-level index and legal reuse could not be verified; sanctions/access risk is material."
"Belarus","core_cis","Depository issuer and securities data","Republican Central Securities Depository","centraldepo.by","Central securities depository","Tier 1","yes","low","medium","medium","security registry; corporate actions","https://centraldepo.by/","unverified","HTML; files","be; ru","unverified","issue/ISIN","unverified","sometimes","unverified","unverified","possibly access-constrained","not independently retrieved","reuse terms unresolved","very high","high","low","unknown","0","high","high","identifier link only","conditional","BLOCKED","No stable unattended public deal-level archive was verified."
"Belarus","core_cis","Securities Department publications","Ministry of Finance of Belarus","minfin.gov.by","Securities regulator","Tier 1","yes","low","high","high","issue registration; securities regulation","https://www.minfin.gov.by/en/securities_department/","unverified","HTML; PDF; XLS","be; ru","unverified","issue number","sometimes","registration date","unverified","multi-year policy archive","no","not independently retrieved","government/reuse and access constraints unresolved","high","high","low","unknown","0","high","high","registration corroboration only","conditional","P2_RESEARCH_MORE","Official but no usable deal-event index was confirmed."
"Belarus","core_cis","National Bank financial-sector decisions","National Bank of Belarus","nbrb.by","Central bank","Tier 1","yes","medium","low","medium","bank ownership; bond market; regulatory decisions","https://www.nbrb.by/engl/","unverified","HTML; PDF","be; ru; en","unverified","bank identifiers","yes","yes","search","multi-year","no","not independently retrieved","government/reuse constraints unresolved","high","high","medium","unknown","0","high","high","corroboration only","conditional","P2_RESEARCH_MORE","Sanctions and access reliability require jurisdiction-specific review."
"Belarus","core_cis","State Property Committee privatization","State Property Committee","gki.gov.by","Privatization / state asset authority","Tier 2","yes","high","low","none","state shares sale; auction; privatization","https://gki.gov.by/","unverified","HTML; PDF","be; ru","unverified","asset id sometimes","sometimes","auction date","unverified","unverified","no","not independently retrieved","reuse/access constraints unresolved","high","medium","medium","unknown","0","high","high","link-only privatization evidence","conditional","LINK_ONLY","Completed-sale disclosure and unattended access were not verified."
"Belarus","core_cis","Belarusbank official disclosures","Belarusbank JSC","belarusbank.by","Official issuer disclosure","Tier 1","yes","high","medium","high","transaction announcement; issue terms; placement result","https://belarusbank.by/en/","issuer article/document pattern varies","HTML; PDF","ru; en","varies","issuer-specific","yes","yes","varies","varies","no","not independently retrieved","issuer terms and sanctions access require review","high","low","medium","0-2","not scored for P0/P1","high","high","primary corroboration only","yes","DISCOVERY_ONLY","Issuer pages can corroborate a record but do not provide a unified market index."
"Armenia","core_cis","AMX listing and allocation news","Armenia Securities Exchange","amx.am","Stock exchange","Tier 1","yes","low","medium","high","corporate bond listing; issue terms; placement window; allocation","https://amx.am/en/news","https://amx.am/en/news/{slug}/{numeric_id}","HTML; linked documents","hy; en; ru limited","numeric news id","ISIN; ticker","yes","issuance and placement dates","year/month filters; pagination","multi-year","no","robots allows all","public pages; terms page not located in sample","low","medium","low","5-15","1 (3 in 365d)","low","low","canonical DCM listing and issuance evidence","yes when amount can be computed and issue stage is explicit","P0_IMPLEMENT_FIRST","Stable HTML and rich issue terms with low parser complexity; 365-day extension was needed for three samples."
"Armenia","core_cis","CBA governor prospectus decisions","Central Bank of Armenia","cba.am","Securities regulator / prospectus database","Tier 1","yes","low","high","high","programme prospectus registration; supplement; issuer decision","https://www.cba.am/en/chairman-decisions","https://www.cba.am/en/chairman-decisions/{numeric_id}/preview/","HTML preview; PDF","hy; en","numeric decision id; decision number","issuer name","yes","decision date","yes","multi-year","no","not independently retrieved","public decision terms not located","low","medium","low","3-10","not scored for P0/P1","low","low","registration-stage corroboration","yes for registered/announced stage","P2_RESEARCH_MORE","Strong evidence but AMX provides more direct placed/listed lifecycle events for Wave 1."
"Armenia","core_cis","AMX/CDA security reference","Central Depository of Armenia","cda.am","Central securities depository","Tier 1","yes","low","low","medium","ISIN; security account; corporate action reference","https://cda.am/","unverified","HTML; PDF","hy; en","unverified","ISIN","unverified","sometimes","unverified","unverified","mixed","not independently retrieved","service/data terms unresolved","medium","high","low","unknown","0","high","medium","identifier corroboration only","conditional","P2_RESEARCH_MORE","No stable public event feed was verified."
"Armenia","core_cis","Competition decisions","Competition Protection Commission","competition.am","Competition authority","Tier 2","yes","high","none","none","concentration decision; acquisition approval","https://competition.am/en/news/","unverified","HTML; PDF","hy; en","decision number sometimes","no","yes","decision date","yes","multi-year","no","not independently retrieved","government terms not located","low","medium","medium","0-3","not scored for P0/P1","medium","medium","M&A regulatory corroboration","conditional","P2_RESEARCH_MORE","Deal-party completeness and searchable decision categories need sampling."
"Armenia","core_cis","State property management disclosures","State Property Management Committee","stateproperty.am","Privatization / state asset authority","Tier 2","yes","high","low","none","privatization; auction; state asset sale","https://stateproperty.am/","unverified","HTML; PDF","hy; en limited","unverified","asset identifiers vary","sometimes","auction/result date","unverified","unverified","no","not independently retrieved","government terms not located","low","medium","high","unknown","0","high","medium","privatization discovery","conditional","P2_RESEARCH_MORE","No stable completed-company-sale archive was verified."
"Armenia","core_cis","Ameriabank investor disclosures","Ameriabank CJSC","ameriabank.am","Official issuer disclosure","Tier 1","yes","high","medium","high","M&A announcement; issue terms; placement result","https://ameriabank.am/en/investors","issuer article/document pattern varies","HTML; PDF","hy; en; ru","varies","issuer-specific","yes","yes","varies","multi-year","no","not independently retrieved","issuer terms not located","medium","low","medium","0-3","not scored for P0/P1","medium","medium","primary corroboration","yes","DISCOVERY_ONLY","Useful issuer corroboration but no unified market-wide index."
"Azerbaijan","core_cis","CBA Electronic System for Information Disclosure","Central Bank of Azerbaijan","cbar.az","Official issuer disclosure portal","Tier 1","yes","medium","high","high","prospectus; final terms; issue results; significant transaction; significant stake","https://www.cbar.az/meas?language=en","row opens issuer PDF; stable standalone detail URL not exposed in index","HTML index; PDF documents","az; en","state registration number plus document row","state registration number","yes","sometimes in PDF","page/per-page and filters","1,300+ items; 2022-2026 pages observed","no","robots file not independently retrievable","rules guarantee free public access; bulk reuse terms not located","medium","very high","medium","20-50","3","high","medium","canonical issuer document and registration-stage source","yes for explicit issue/result/significant transaction","P1_IMPLEMENT_SECOND","Authoritative and deep with strong filters; document-link extraction and noise whitelist must be proven."
"Azerbaijan","core_cis","Baku Stock Exchange issuer and placement news","Baku Stock Exchange","bfb.az","Stock exchange","Tier 1","yes","low","medium","high","placement auction; listing; issue result","https://www.bfb.az/en/news","unverified","HTML; PDF","az; en","unverified","state registration number; ISIN","unverified","yes","unverified","unverified","no","not independently retrieved","terms not located","medium","high","medium","unknown","0","high","medium","exchange corroboration","conditional","P2_RESEARCH_MORE","Search did not expose a stable current deal-level archive; ESID is the better first surface."
"Azerbaijan","core_cis","Securities issuance guidance and register","Central Bank of Azerbaijan","cbar.az","Securities regulator","Tier 1","yes","low","high","high","state registration; prospectus approval; issue result guidance","https://www.cbar.az/page-729/guidance-on-state-registration-of-securities?language=en","regulation/decision paths","HTML; PDF","az; en","decision/registration number","state registration number","yes","yes","search","multi-year","no","robots not independently retrieved","public official guidance","low","high","low","1-5","not scored for P0/P1","medium","low","regulatory corroboration","conditional","DISCOVERY_ONLY","Guidance is not itself an event feed; ESID carries the disclosed event documents."
"Azerbaijan","core_cis","National Depository Center reference data","National Depository Center","mdm.gov.az","Central securities depository","Tier 1","yes","low","low","medium","security reference; ISIN; depository actions","https://mdm.gov.az/","unverified","HTML; PDF","az; en","unverified","ISIN; state registration number","unverified","sometimes","unverified","unverified","no","not independently retrieved","terms unresolved","medium","high","low","unknown","0","high","medium","identifier corroboration","conditional","P2_RESEARCH_MORE","Public event-level archive was not verified."
"Azerbaijan","core_cis","Antimonopoly and consumer-control decisions","State Service for Antimonopoly and Consumer Market Control","competition.gov.az","Competition authority","Tier 2","yes","high","none","none","economic concentration; acquisition decision","https://competition.gov.az/en/news/","unverified","HTML; PDF","az; en","unverified","no","sometimes","decision date","unverified","unverified","no","not independently retrieved","government terms not located","low","medium","medium","unknown","0","high","medium","M&A corroboration","conditional","P2_RESEARCH_MORE","Individual concentration-decision completeness was not verified."
"Azerbaijan","core_cis","State Property Service privatization","State Service on Property Issues","emlak.gov.az","Privatization / state asset authority","Tier 2","yes","high","low","none","privatization auction; state stake sale","https://emlak.gov.az/en/news/","unverified","HTML; PDF","az; en","unverified","lot/asset id sometimes","sometimes","auction date","unverified","unverified","no","not independently retrieved","government terms not located","low","medium","high","unknown","0","high","medium","privatization discovery","conditional","P2_RESEARCH_MORE","Corporate-stake result pages and stable archive need verification."
"Moldova","core_cis","Moldova Stock Exchange news","Moldova Stock Exchange","bvm.md","Stock exchange","Tier 1","yes","medium","medium","high","corporate bond admission; issue terms; mandatory withdrawal; listing","https://www.bvm.md/en/news/","https://www.bvm.md/en/news/{numeric_id}/","HTML; linked prospectus PDF","ro; ru; en","numeric news id","ISIN","yes","issue/admission dates","yes","multi-year","no","robots file not independently retrievable","public pages; reuse terms not located","low","medium","low","2-8","3","low","low","canonical exchange admission and DCM terms","yes for explicit issue/admission; prospectus strengthens approval","P0_IMPLEMENT_FIRST","Stable simple HTML, exact ISIN/amount/currency and low noise make it a safe Wave 1 source."
"Moldova","core_cis","Authorized prospectuses and board decisions","National Commission for Financial Markets","cnpf.md","Securities regulator / prospectus database","Tier 1","yes","medium","high","high","authorized prospectus; issue registration; issue result","https://www.cnpf.md/ro/prospecte-autorizate-6512.html","article/storage document path varies","HTML; PDF","ro","article/document id","issuer register identity; ISIN sometimes","yes","decision/offer dates","yes","multi-year","no","not independently retrieved","government terms not located","low","medium","low","1-5","not scored for P0/P1","medium","low","regulatory corroboration and offer document","yes","P2_RESEARCH_MORE","Strong support for BVM records but lower event yield and less uniform detail paths."
"Moldova","core_cis","National Bank financial-sector disclosures","National Bank of Moldova","bnm.md","Central bank","Tier 1","yes","medium","low","medium","bank ownership approval; reference rates; bank decisions","https://www.bnm.md/en/news","article path varies","HTML; PDF; XLSX","ro; en","sometimes","bank id","yes","yes","yes","multi-year","no","not independently retrieved","government terms not located","low","medium","medium","0-3","not scored for P0/P1","medium","low","financial-sector corroboration","conditional","P2_RESEARCH_MORE","Potential M&A evidence is episodic; no deal-only index verified."
